,Code ISIN,Dénomination,Yahoo query
1,FR0000288946,AXA Court Terme AC,AXACRTT
3,FR0010269829,Hottinguer Monétaire Euro A,HRMONEE
4,FR0010529727,Hottinguer Monétaire Euro B,HRMONEB
5,FR0010513523,R Sérénité PEA (C),RCSPEAC
7,LU0568621618,Amundi Fds Cash USD AU-C,SOGMUSD
8,LU0128498267,Pictet Short-Term Money Market CHF P,PIPCHAI
10,FR0010376020,CPR 7-10 Euro SR P,CPROATP
11,FR0007465075,Ecofi Quant Obligations,EFINOTI
12,FR0000971293,HSBC Euro Gvt Bond Fund (C),HSBEURC
14,LU1681040652,Amundi IS US Treasury 7-10 ETF-C USD,US7
16,LU0935222900,Ostrum Euro Inflation R/A EUR,IXINFNR
18,FR0010636399,SLF (F) Bond Global Inflation P,SLFIMOP
19,LU0461807983,SLF (Lux) Bond Inflation Prot R,BONDINR
20,FR0010187674,Amundi Inflation Monde I,INFLMON
21,LU0266010296,AXA WF Global Inflation Bd EC EUR,AXAGIAE
23,LU1681041114,Amundi Floating Rate Euro Corp 1-3 UCITS ETF,FRNE
24,FR0010116343,BNP Paribas Bond Cash Equivalent Cl C,MONPRME
25,FR0007451745,BSO Court Terme,BSOSEPL
26,FR0010149120,Carmignac Sécurité A EUR Acc,CARSECC
27,FR0010304089,CPR Oblig 12 mois P,OBLGEUR
28,FR0000027609,Lazard Euro Short Duration IC,LAOBPRI
29,FR0000982035,MAM Short Term Bonds C,MONDISC
30,FR0010697482,R-Co Credit Horizon 12M C,ELAN13C
31,FR0007386313,SLGP Short Bonds P,SOWATRE
32,FR0010819821,Tikehau Taux Variables P,
34,LU0616241476,Amundi Fds Euro Aggt Bd A EUR C,SOGEAAC
35,LU0284393930,DNCA Invest Beyond European Bd Opp A EUR,LEOEURA
36,FR0010057075,Ecureuil Obli Euro C,ECURCAP
37,LU0170474000,Franklin European Total Ret N Acc EUR,TEMTRBX
38,FR0010061283,HSBC SRI Euro Bond AC,HSBCEOR
39,FR0000971806,MAM Flexible Bonds (C),OBTFMTC
40,FR0011034818,Schelcher Prince Opportunité Eurp P,SCHPOEP
42,FR0013048253,SLF (F) Opportunité High Yield 2021 P,
43,FR0013332418,SLF (F) Opportunité High Yield 2023 P C,SWOHYPC
44,FR0013258647,La Française Rendement Global 2025 R,LFGL25R
45,LU1916458802,LF Lux JKC Asia Bond 2023 R Eur H Cap,JAB23RC
46,FR0013165719,MAM Euro Plus 2021 C,
47,FR0011131812,Tikehau 2022 C,
49,LU0292585626,AXA IM FIIS US Short Dur HY FH EUR (C),AXAUSHF
50,LU0276013249,AXA WF US High Yield Bonds E(H)-C EUR,AXUHYBE
51,LU1876460061,Axiom Optimal Fix R,AXOPTFR
52,FR0013277571,Echiquier Altarocca Hybrid Bonds R,ALHYBRR
53,FR0013259181,Groupama Axiom Legacy 21 N,GRAL21N
54,LU0289473059,JPM Income Opp D perf (acc) EURH,JPMIOAD
55,FR0010952796,Lazard Capital Fi R,LAZOBCR
56,FR0010590950,Lazard Credit Fi C,LFOBJFI
57,FR0010752543,Lazard Credit Fi R,LFOBJFR
58,LU0776290842,UBS (Lux) BF Euro High Yield P CHF Hdg,UBSEHCH
60,LU1623762843,Carmignac Pf Uncons Credit A EUR Acc,CARUCAE
61,FR0010986315,DNCA Sérénité Plus C,DNCASEP
62,LU1161527038,EdRF Bond Allocation A,EDRBAAE
63,FR0013393329,H2O Multibonds SR,H20MESR
64,FR0010697532,Keren Corporate C,KERCORR
65,FR0010657601,La Française Multistratégies Obligs R,LFPOBLP
66,LU0563303998,LO Funds - Euro BBB-BB Fdmtl (EUR) P A,LOBBBPA
67,FR0000971913,MAM Taux Variables (C),HOR301C
68,FR0013047412,Pluvalca Multibonds A,PLUMBAA
69,FR0012735322,Salamandre Euro Rendement C,
70,FR0010707513,Schelcher Prince Oblig Moyen Terme P,SCHP16P
71,FR0012696102,SPPI Multi-Oblig A/I,SPPIMOB
72,FR0010460493,Tikehau Credit Plus A,TICRPLA
74,LU0336083497,Carmignac Pf Uncons Glb Bd A EUR Acc,CARGLBD
75,LU1532731897,LO Funds Global Climate Bd Syst.H EUR RA,LOGSERA
76,LU1670720033,M&G (Lux) Glb Macro Bd B EUR Acc,MGGMEBA
77,IE00B05QM511,PIMCO GIS Global Bond Inv EUR Hdg Acc,PIMGEHA
78,LU0294219869,Templeton Global Bond A EUR-H1,TEGACEH
79,LU0260870588,Templeton Global Bond N EUR,TEMNAEU
80,LU0260870661,Templeton Global Total Ret A EUR (C),TGTAACE
81,LU0294221097,Templeton Global Total Ret A EUR-H1,TGRAACH
82,LU0260870745,Templeton Global Total Ret N EUR,TGTNAEU
83,LU0294221253,Templeton Global Total Ret N EUR-H1 (C),TGNACEH
85,FR0011513522,Arc Flexibond C,ARCFLBA
87,LU1876460905,Axiom Obligataire R EUR,AXOBLIR
88,LU0594300682,Fidelity Sust Strat Bd A-Acc-EUR H,FFGSAAE
89,FR0010230490,Lazard Credit Opportunities A,LAOBAOA
91,IE00B7KFL990,PIMCO GIS Income E Acc USD,PIMINEA
93,FR0010156604,Amundi Oblig Internationales P EUR,CAAMOIP
94,LU0798462528,LO Funds - Gbl BBB-BB Fdmtl (EUR) P A,LBBBEPA
96,IE00B23XD337,Loomis Sayles Multisect Inc Fd R/A EUR,LYMBDRE
98,LU0441493979,SLF (Lux) Bond Euro Corporate EUR R,SWIBGCR
99,BE0945493345,Candriam Sust Euro Corporate Bonds C Cap,UO4Y
100,FR0010491803,Echiquier Credit Europe A,FDEECOB
101,FR0011045145,Epargne Ethique Obligations (C),ETHOBLC
102,FR0010702175,G Fund Crédit Euro ISR NC,GCEISND
103,FR0013345683,LBPAM ISR Obli Crédit L A/I,LBPROCL
104,LU1829219127,Lyxor Euro Corporate Bond ETF Acc,CRP
105,FR0000971822,MAM Transition Durable Obligations C,OBTFLTC
106,FR0007008750,R Euro Crédit C,SOGOBLT
107,FR0010807107,R Euro Crédit F,ROBLPRF
108,FR0010734442,SLGP Corporate Bonds (C),SLGPCBC
110,LU0717900707,SLF (Lux) Bond Global Corporates EUR R Cap,SBGCDVR
112,LU0119110723,Amundi Fds Bd Euro High Yield AE-C,CHIYIAA
113,FR0010986919,Ecofi High Yield,ECOHGYD
114,LU1160363633,EdRF Signatures Euro High Yield A-EUR,EDRSEHA
115,LU0110060430,Fidelity Fds European High Yield A (D),FIDEUHG
116,LU1812090543,Lyxor BofAML € HY Ex-Fincl Bd ETF Dis,YIEL
117,FR0000981946,MAM High Yield,MEEHTRE
118,FR0010505313,Lazard Corpo Euro High Yield C,LFOBAHR
119,FR0010560037,Schelcher Prince Haut Rendement P,SPSPHRP
121,FR0010962910,SLF (F) Rendement P Cap,
122,LU0837062016,SLF (Lux) Bond Global High Yield R EUR,SLGHYRE
123,LU0125750504,AXA WF Global High Yield Bds A(H)-C EUR,AXWHYAC
